apiKeyId,provider,model,promptTokens,completionTokens,costUsd,costEstimated,latencyMs,cacheHit,cacheKind,status,createdAt
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:53.031
key-1,local,local-small,30,47,0.00002180,f,119,f,,success,2026-08-24 18:01:53.04
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:53.097
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:53.164
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:53.231
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:53.364
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:53.429
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:53.498
key-1,local,local-small,31,48,0.00002230,f,267,f,,success,2026-08-24 18:01:53.58
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:53.631
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:53.697
key-1,local,local-small,30,47,0.00002180,f,120,f,,success,2026-08-24 18:01:53.703
key-1,local,local-small,28,45,0.00002080,f,126,f,,success,2026-08-24 18:01:53.91
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:53.965
key-1,local,local-small,26,43,0.00001980,f,120,f,,success,2026-08-24 18:01:53.97
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:54.03
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:54.172
key-1,local,local-small,32,49,0.00002280,f,294,f,,success,2026-08-24 18:01:54.217
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:54.235
key-1,local,local-small,28,45,0.00002080,f,122,f,,success,2026-08-24 18:01:54.252
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:54.367
key-1,local,local-small,31,48,0.00002230,f,124,f,,success,2026-08-24 18:01:54.476
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:54.564
key-1,local,local-small,28,45,0.00002080,f,121,f,,success,2026-08-24 18:01:54.575
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:54.633
key-1,local,local-small,29,46,0.00002130,f,130,f,,success,2026-08-24 18:01:54.658
key-1,local,local-small,32,49,0.00002280,f,121,f,,success,2026-08-24 18:01:54.853
key-1,cache,local-small,0,0,0.00000000,f,37,t,semantic,success,2026-08-24 18:01:54.865
key-1,local,local-small,30,47,0.00002180,f,124,f,,success,2026-08-24 18:01:54.911
